party_rk,purchase_sum,russian_region_nm,russian_region_cd,timediff_to_msk_hour_cnt,russian_federal_district_cd
119434410,1780018.67046,Москва,077,0,001
369439583,17104.5,Москва,077,0,001
266370993,803068.42736,Москва,077,0,001
211941301,177624.51,Москва,077,0,001
31150731,1676600.66303,Москва,077,0,001
257505558,4293.87,Москва,077,0,001
310916592,22847.0,Кемеровская область,042,4,007
160963698,20416.63,Москва,077,0,001
279157440,41978.34,Москва,077,0,001
305591859,21314.99,Кемеровская область,042,4,007
318430911,33273.0,Москва,077,0,001
110401551,8461.11,Москва,077,0,001
146746271,217881.51,Москва,077,0,001
133424705,515026.84616,Москва,077,0,001
240561185,134164.38,Москва,077,0,001
101327615,73643.75,Москва,077,0,001
236190354,945.0,Москва,077,0,001
301967312,119058.45,Москва,077,0,001
297495043,364.0,Москва,077,0,001
219924075,9082.84,Москва,077,0,001
87674292,138224.16,Москва,077,0,001
367191849,122898.3,Москва,077,0,001
362359586,12711.0,Москва,077,0,001
222205733,29888.41,Москва,077,0,001
343272564,149698.44,Москва,077,0,001
219599502,247359.78,Москва,077,0,001
123304185,2817.8,Москва,077,0,001
344625580,136829.62282,Москва,077,0,001
207526232,16447.85,Кемеровская область,042,4,007
257683531,96200.05,Москва,077,0,001
221694817,1121334.06,Москва,077,0,001
115752089,26787.22,Кемеровская область,042,4,007
249625064,369239.22923,Москва,077,0,001
119056201,436790.0,Москва,077,0,001
130652735,7644.52,Москва,077,0,001
286082127,7403.43,Москва,077,0,001
318690039,98654.91,Москва,077,0,001
317494130,24929.76,Москва,077,0,001
151253926,94980.96,Москва,077,0,001
316668169,340.0,Москва,077,0,001
116215470,228122.73,Москва,077,0,001
274032252,21465.5,Москва,077,0,001
249239590,184357.77,Москва,077,0,001
366204601,36777.2,Москва,077,0,001
130717609,382235.23,Москва,077,0,001
223716638,73416.36,Москва,077,0,001
157145462,1334251.43,Москва,077,0,001
112735566,169125.72,Москва,077,0,001
251033052,48990.73,Москва,077,0,001
128072258,2117726.15693,Москва,077,0,001
244453945,221380.39,Москва,077,0,001
240618742,895865.11,Москва,077,0,001
151254954,161959.28,Москва,077,0,001
295699289,374436.75,Москва,077,0,001
349581618,1402.49,Москва,077,0,001
127867704,1788880.98,Москва,077,0,001
247669041,30218.79,Москва,077,0,001
300589102,263300.76,Москва,077,0,001
142780111,7300.0,Москва,077,0,001
268527539,313050.61,Москва,077,0,001
308390251,50759.97,Москва,077,0,001
161919648,977384.09074,Москва,077,0,001
144284762,49594.52,Москва,077,0,001
237652942,13000.0,Кемеровская область,042,4,007
122108555,372459.45,Москва,077,0,001
310563517,1102181.70605,Москва,077,0,001
302484359,29853.65,Кемеровская область,042,4,007
216298880,396220.24,Москва,077,0,001
270201443,1279190.97,Москва,077,0,001
267003084,214926.96838,Москва,077,0,001
70644778,1016446.04,Москва,077,0,001
136945419,144784.97,Москва,077,0,001
274956300,381.49,Москва,077,0,001
342309649,79777.8,Мурманская область,051,0,002
307296160,62244.0,Москва,077,0,001
122977661,317136.84519,Москва,077,0,001
161264282,198020.93,Москва,077,0,001
239518016,1207678.05129,Москва,077,0,001
276462854,7227.22,Москва,077,0,001
311384895,74031.78,Москва,077,0,001
218433621,327190.14351,Москва,077,0,001
169230873,1203930.50896,Москва,077,0,001
136350795,119669.87,Москва,077,0,001
236011958,3300.0,Москва,077,0,001
